Raw	Corrected	Overproof	Poorman
Nature	Nature	Nature	Nature	1
would	would	would	would	57
stalls	stalls	stalls	stalls	1
voting1	voting	voting	voting1	1
suddenly	suddenly	suddenly	suddenly	1
coaBt	coast	coast	coaBt	1
decrease	decrease	decrease	decrease	1
guldunco	guidance	guidance	guldunco	1
ano	and	and	and	1
stiuck	struck	struck	struck	1
Members	Members	Members	Members	2
Manning	Manning	Manning	Manning	3
hind	hind	land	lind	1
librarv	library	library	librarv	1
BODY	BODY	BODY	BODY	1
KattiReii	Rathgen	KattiReii	KattiReii	1
Horn	from	Horn	Horn	1
talked	talked	talked	talked	1
Â	left	a	Â	1
DAVID	DAVID	DAVID	DAVID	1
Amusements	Amusements	Amusements	Amusements	1
admitted	admitted	admitted	admitted	3
bush	bush	bush	bush	4
concrete	concrete	concrete	concrete	1
Law	Law	Law	Law	1
surgeon	surgeon	surgeon	surgeon	1
advis	advis	advis	advis	1
oSOO	5800	oSOO	oSOO	1
pOBltlons	positions	pOsitions	pOBltlons	1
rockÂ	rocks	rock	rockÂ	1
Cemetery	Cemetery	Cemetery	Cemetery	2
IZZABD	IZZARD	IZZARD	IZZABD	1
eiitcnng	entering	entering	eiitcnng	1
Welch	Welch	Welch	Welch	1
Berrima	Berrima	Berrima	Berrima	1
cheerful	cheerful	cheerful	cheerful	1
impression	impression	impression	impression	1
child	child	child	child	6
auxiliary	auxiliary	auxiliary	auxiliary	1
Burton	Burton	Burton	Burton	1
prosecuted	prosecuted	prosecuted	prosecuted	1
Valamita	Valamita	Valais	Valamita	1
floorcloth	floorcloth	floorcloth	floorcloth	1
unanimously	unanimously	unanimously	unanimously	1
vessol	vessel	vessel	vessel	1
ritOH	FROM	FROM	ritOH	1
visit	visit	visit	visit	11
Con	Con	Con	Con	3
casks	casks	casks	casks	4
Brion	Brien	Brien	Brien	1
So	So	So	So	3
Carver	Carver	Carver	Carver	1
Nell	Neil	Nell	Nell	1
Pty	Pty	Pty	Pty	2
olive	alive	alive	alive	1
Evoristus	Everistus	Everistus	Evoristus	1
overseas	overseas	overseas	overseas	1
MT	AND	MT	MR	1
occasionally	occasionally	occasionally	occasionally	1
brown	brown	brown	brown	1
nad	and	had	had	1
Guotge	George	George	Guotge	1
admit	admit	admit	admit	1
Christie	Christie	Christie	Christie	1
addressed	addressed	addressed	addressed	2
Gonoral	General	General	Gonoral	1
additional	additional	additional	additional	1
Gilchrist	Gilchrist	Gilchrist	Gilchrist	1
lower	lower	lower	lower	7
broadcast	broadcast	broadcast	broadcast	1
Avenue	Avenue	Avenue	Avenue	1
joyous	joyous	joyous	joyous	3
tax	tax	tax	tax	5
system	system	system	system	4
non	non	non	not	2
muslin	muslin	muslin	muslin	1
Wizard	Wizard	Wizard	Wizard	1
tifoio	before	before	tifoio	1
profession	profession	profession	profession	1
MEETS	MEETS	MEETS	MEETS	1
Verbum	Verbum	Verbum	Verbum	1
Industrial	Industrial	Industrial	Industrial	1
topsails	topsails	topsails	topsails	1
citadel	citadel	citadel	citadel	1
Opening	Opening	Opening	Opening	1
failure	failure	failure	failure	2
severe	severe	severe	severe	1
EMPLOYEE	EMPLOYEE	EMPLOYEE	EMPLOYEE	1
necessitated	necessitated	necessitated	necessitated	1
Pattinson	Pattinson	Pattinson	Pattinson	1
THURSDAY	THURSDAY	THURSDAY	THURSDAY	2
Munn	Munn	Munn	Munn	1
be	be	behind	be	1
Bearch	search	search	Bearch	1
Senior	Senior	Senior	Senior	2
1916	1916	1916	1916	1
leligious	religious	religious	leligious	1
Intention	intention	intention	Intention	1
Thoniis	Thomas	Thomas	Thoniis	1
past	past	past	past	7
exhi	exhi	exhibition	exhi	1
compiling	compiling	compiling	compiling	1
MORPETH	MORPETH	MORPETH	MORPETH	1
controls	controls	controls	controls	1
bonch	bench	bench	bonch	1
Furniture	Furniture	Furniture	Furniture	1
animals	animals	animals	animals	1
baÂ	back	baÂ	haÂ	1
twelve	twelve	twelve	twelve	2
Octobor	October	October	October	1
investigations	investigations	investigations	investigations	2
ATTEMPTS	ATTEMPTS	ATTEMPTS	ATTEMPTS	1
sewerage	sewerage	sewerage	sewerage	1
forgcij	forgery	forgery	forgcij	1
to	the	to	to	1
boats	boats	boats	boats	3
TAXPAYER	TAXPAYER	TAXPAYER	TAXPAYER	1
Butlor	Butler	Butler	Butler	1
timÂ	time	time	timÂ	2
dl	di	do	de	1
Bu	Bu	Buchanan	Bu	1
rall	rail	all	rall	1
STATEMENT	STATEMENT	STATEMENT	STATEMENT	1
leigh	Leigh	leigh	leigh	1
ploadod	pleaded	pleaded	ploadod	2
COOGEE	COOGEE	COOGEE	COOGEE	1
SÃ¼ss	Miss	Miss	SÃ¼ss	1
per	per	persons	per	1
drawn	drawn	drawn	drawn	3
players	players	players	players	5
li	L	T	li	1
Zea	Zea	Zealand	Zea	1
way	way	way	was	11
delivorod	delivered	delivered	delivorod	1
pinodb	periods	pined	pinodb	1
placed	placed	placed	placed	6
Kilusy	Kalusy	Kilusy	Kilusy	1
Mtsstehows	Mangshowe	Mtsstehows	Mtsstehows	1
Inter	inter	International	Inter	1
civilian	civilian	civilian	civilian	1
remanded	remanded	remanded	remanded	4
nights	nights	nights	nights	2
EdwardÂ	Edwards	Edward	EdwardÂ	1
good	good	good	good	21
Main	Main	Main	Main	1
Oonah	Oonah	Oonah	Oonah	1
V	styles	V	V	1
Tooso	Toose	Toose	Tooso	1
26th	26th	26th	26th	1
hope	hope	hope	hope	2
Ã	9	a	Ã	1
louahbv	loughby	louahbv	louahbv	1
crates	crates	crates	crates	1
bv	by	by	by	7
AKOTKBU	ANOTHER	AKOTKBU	AKOTKBU	1
debts	debts	debts	debts	1
Medical	Medical	Medical	Medical	1
thtcknosB	thickness	thickness	thtcknosB	1
PROSECUTION	PROSECUTION	PROSECUTION	PROSECUTION	1
chosen	chosen	chosen	chosen	1
laud	land	land	land	1
tbe	the	the	the	3
Fisher	Fisher	Fisher	Fisher	4
recently	recently	recently	recently	5
INVERELL	INVERELL	INVERELL	INVERELL	1
jublloo	jubilee	jubilee	jublloo	1
attractions	attractions	attractions	attractions	1
Three	Three	Three	Three	4
he	the	her	he	1
resorts	resorts	resorts	reports	1
Bennett	Bennett	Bennett	Bennett	2
cplÂ	cpls	Cpl	cplÂ	1
Avere	were	were	Avere	1
VALVBOF	VALUE	VALVBOF	VALVBOF	1
pav	pay	pay	pay	2
jamesonlto	jamesonite	namesake	jamesonlto	1
Mon	Man	Mon	Mon	1
Waller	Waller	Waller	Walker	1
Louie	Louie	Louie	Louis	1
gold	gold	goldfields	gold	1
brawl	brawl	brawl	brawl	1
tonco	tence	fence	tinco	1
Sobastian	Sebastian	Sebastian	Sobastian	1
H	B	H	H	1
thil	that	that	thal	1
youug	young	young	young	1
waxed	waxed	waxed	waxed	1
reading	reading	reading	reading	4
Harley	Harley	Harley	Harley	1
freely	freely	freely	freely	2
Innd	land	Innd	Innd	1
a	a	a	a	608
exhibits	exhibits	exhibits	exhibits	1
Biidgo	Bridge	Bridge	Biidgo	1
steam	steam	steam	steam	2
Davis	Davis	Davis	Davis	6
won	won	won	won	5
Kanguroo	Kangaroo	Kangaroo	Kanguroo	1
Compony	Company	Company	Compony	1
carrying	carrying	carrying	carrying	6
Onel	Oriel	Oriel	Onel	1
Cohmick	Cormick	Cormick	Cohmick	1
Gold	Gold	Gold	Gold	4
exhumation	exhumation	exhumation	exhumation	2
Reg	Reg	Reg	Rev	1
mt	art	mt	it	1
It	it	It	It	9
hava	have	have	have	1
Mounted	Mounted	Mounted	Mounted	2
Ian	Ian	Ian	Ian	1
light	light	light	light	5
convicted	convicted	convicted	convicted	2
difficult	difficult	difficult	difficult	4
Fleming	Fleming	Fleming	Fleming	1
together	together	together	together	2
chewing	chewing	chewing	chewing	1
mel	met	met	mel	1
Pasquali	Pasquali	Pasquali	Pasquali	1
continued	continued	continued	continued	7
Ptes	Ptes	Pte	Ptes	1
ocean	ocean	ocean	ocean	1
Mackey	Mackey	Mackey	Mackey	1
oxhumation	exhumation	exhumation	oxhumation	1
biddei	lady	lad	biddei	1
electorate	electorate	electorate	electorate	1
enter	enter	entertainment	enter	1
engineer	engineer	engineer	engineer	4
read	read	read	read	1
rules	rules	rules	rules	3
1930	1930	1938	1930	1
lb	lb	lb	li	1
gauge	gauge	gauge	gauge	1
driver	driver	driver	driver	3
Powell	Powell	Powell	Powell	2
refusing	refusing	refusing	refusing	2
Meadows	Meadows	Meadows	Meadows	1
ber	ber	ber	her	1
Drury	Drury	Drury	Drury	1
beinsr	being	being	beinsr	1
Ridges	Ridges	Ridge	Ridges	1
Harp	Harp	Harp	Harp	1
Ludios	Ludies	Ladies	Ludios	1
insect	insect	insect	insect	1
observe	observe	observe	observe	1
uns	was	was	uns	1
Africa	Africa	Africa	Africa	3
Lovcridge	Loveridge	Loveridge	Lovcridge	1
2d	2d	2d	2d	1
co	so	co	co	1
interfere	interfere	interfere	interfere	1
up	ap	up	up	1
Manly	Manly	Manly	Manly	8
therp	there	there	therp	1
Consiablo	Constable	Constable	Consiablo	1
property	property	property	property	12
I	3	I	I	1
THIS	THIS	THIS	THIS	1
life	life	life	life	14
schooaei	schooner	schooner	schooaei	1
bars	bars	bars	bars	1
cent	cent	cent	cent	8
Scuns	Scutts	Scuns	Scuns	1
fulfilled	fulfilled	fulfilled	fulfilled	1
against	against	against	against	14
yearÂ	years	years	yearÂ	2
CALL	CALL	CALL	HALL	1
100	300	100	100	1
Coppcn	Coppen	Coppen	Coppcn	1
Bong	Bong	Bong	Bong	1
Masonic	Masonic	Masonic	Masonic	3
sotuo	some	some	sotuo	1
Hughos	Hughes	Hughes	Hughes	1
MONEY	MONEY	MONEY	MONEY	1
tor	tor	for	for	1
kinds	kinds	kinds	kinds	3
Dedman	Dedman	Dedman	Dedman	1
superintendence	superintendence	superintendence	superintendence	1
Manlv	Manly	Manly	Manly	1
Rayner	Rayner	Rayner	Rayner	1
behalf	behalf	behalf	behalf	5
reported	reported	reported	reported	5
yoih	York	york	yoih	1
hero	here	here	hero	1
French	French	French	French	5
pait	part	part	part	2
spcond	second	second	spcond	1
numer	numer	numerous	numer	1
Scheme	Scheme	Scheme	Scheme	1
und	and	und	and	1
aborigines	aborigines	aborigines	aborigines	1
engaged	engaged	engaged	engaged	2
wcie	were	were	weie	1
Courier	Courier	Courier	Courier	1
eventually	eventually	eventually	eventually	2
slml	simi	similar	slml	1
Cullou	Cullen	Cullen	Cullou	1
drifted	drifted	drifted	drifted	2
Goods	Goods	Goods	Goods	1
hal	had	had	had	1
strained	strained	strained	strained	1
council	council	council	council	7
picking	picking	picking	picking	1
crystalline	crystalline	crystalline	crystalline	1
Short	Short	Short	Short	1
magnificently	magnificently	magnificently	magnificently	1
Chauffeur	Chauffeur	Chauffeur	Chauffeur	1
ad	ad	adjourned	at	1
oxamfna	examina	examinations	oxamfna	1
Windsor	Windsor	Windsor	Windsor	4
marketing	marketing	marketing	marketing	2
apathy	apathy	apathy	apathy	2
8	8	3	8	1
Municipal	Municipal	Municipal	Municipal	2
defundunt	defendant	defendant	defundunt	1
Tomas	Tomas	Tomas	Tomas	1
mil	and	and	mil	1
aerodromes	aerodromes	aerodromes	aerodromes	1
well	well	well	well	33
Tins	This	This	Tins	1
ore	are	are	one	2
Hacking	Hacking	Hacking	Hacking	2
operations	operations	operations	operations	3
Jno	Jno	Jno	Jno	1
slaty	slaty	slaty	slaty	1
InBtead	instead	Instead	InBtead	1
early	early	early	early	6
tral	tral	trial	tral	1
membership	membership	membership	membership	2
Gaspard	Gaspard	Gaspard	Gaspard	1
ate	ate	ate	are	2
Baisden	Baisden	Bawden	Baisden	1
pin	pay	in	pin	1
Pino	Pine	Pine	Pino	1
Saturday	Saturday	Saturday	Saturday	14
4370	4370	4370	4370	1
May	May	May	May	14
mutch	matches	match	match	1
batters	hatters	batters	batters	1
Rowing	Rowing	Rowing	Rowing	1
CROSSING	CROSSING	CROSSING	CROSSING	1
diseusBlou	discussion	discussion	diseusBlou	1
come	come	come	come	6
nounced	nounced	nounced	nounced	1
sources	sources	sources	sources	1
acie	acre	acre	acre	4
news	news	news	news	2
Io	To	to	In	1
Barron	Barron	Barron	Barton	1
McCoy	McCoy	McCoy	McCoy	1
Laing	Laing	Laing	Laing	1
Potorjion	Petersen	Petersen	Potorjion	1
tuvourably	favourably	favourably	tuvourably	1
Ã	S	E	Ã	1
children	children	children	children	11
defences	defences	defences	defences	1
Arms	Arms	Arms	Arms	1
ban	ban	banqueted	ban	1
favour	favour	favour	favour	2
accord	accord	according	accord	1
deaths	deaths	deaths	deaths	1
complement	complement	complement	complement	1
price	price	price	price	10
41	41	41	41	3
tor	tor	stated	for	1
Biderablo	siderable	siderable	Biderablo	1
traders	traders	traders	traders	3
offers	offers	offers	offers	2
date	date	date	date	2
jured	jured	jured	jured	1
remodeliing	remodelling	remodelling	remodeliing	1
vehicles	vehicles	vehicles	vehicles	1
Falls	Falls	Falls	Falls	1
Owners	Owners	Owners	Owners	1
press	press	press	press	2
Eddystone	Eddystone	Eddystone	Eddystone	1
affixed	affixed	affixed	affixed	1
charging	charging	charging	charging	2
distance	distance	distance	distance	2
lho	The	the	tho	3
wnlt	sault	wilt	wnlt	1
Sheehan	Sheehan	Sheehan	Sheehan	2
San	San	San	San	2
dnpnt	dispute	dnpnt	dnpnt	1
assist	assist	assistance	assist	1
Webb	Webb	Webb	Webb	2
soconded	seconded	seconded	seconded	1
Carl	Carl	Carlton	Carl	1
perils	perils	perils	perils	1
muni	muni	municipality	muni	1
smashed	smashed	smashed	smashed	1
ACROSS	ACROSS	ACROSS	ACROSS	1
funoral	funeral	funeral	funeral	1
Wlnntfred	Winnifred	Winnifred	Wlnntfred	1
relieves	relieves	relieves	relieves	1
some	some	some	some	37
bums	burns	burns	sums	1
Survey	Survey	Survey	Survey	1
swamped	swamped	swamped	swamped	1
Orban	Orban	Orban	Orban	1
Hong	Bong	Bong	Hong	1
infant	infant	infant	infant	1
Wheelmen	Wheelmen	Wheelmen	Wheelmen	1
Single	Singleton	Singleton	Single	1
destioylnc	destroying	destroying	destioylnc	1
Winslade	Winslade	Winslade	Winslade	1
Fred	Fred	Fred	Fred	3
Rosen	Rosen	Rosen	Rosen	3
respectively	respectively	respectively	respectively	1
Pustacc	Eustace	Eustace	Pustacc	1
Mi	Mrs	Mr	Mr	1
Df	of	of	Df	1
Covony	Coveny	Covony	Covony	4
ments	ments	ments	ments	1
Bailer	Bailey	Barter	Bailer	1
Bradbury	Bradbury	Bradbury	Bradbury	1
yvas	was	was	yvas	2
Jills	Mrs	Jill	Jills	1
foun	foun	foundation	foun	1
Ipswich	Ipswich	Ipswich	Ipswich	2
4D8	498	498	4D8	1
13	13	3	13	1
aoeount	account	account	aoeount	1
Caledonian	Caledonians	Caledonian	Caledonian	1
Hickox	Hickey	Hickox	Hickox	1
may	may	may	may	11
fellow	fellow	fellow	fellow	2
camped	camped	camped	camped	1
te	be	be	to	1
principally	principally	principally	principally	1
compound	compound	compound	compound	1
operated	operated	operated	operated	2
liansicnt	transient	transient	liansicnt	1
Further	Further	Further	Further	1
depth	depth	depth	depth	7
Order	Order	Order	Order	1
Cedric	Cedric	Cedric	Cedric	1
MOTHERS	MOTHERS	MOTHERS	MOTHERS	1
TURNER	TURNER	TURNER	TURNER	2
storm	storm	storm	storm	2
Portel	Porter	Porte	Porter	1
Since	Since	Since	Since	2
heard	heard	heard	heard	7
With	With	With	With	4
stride	stride	stride	stride	1
Haddou	Haddon	Hadden	Haddou	1
Mt	Mr	Mr	Mr	1
Arithmetic	Arithmetic	Arithmetic	Arithmetic	1
arrests	arrests	arrests	arrests	1
people	people	people	people	16
uiiuurn	annum	mourn	uiiuurn	1
Turpin	Turpin	Turpin	Turpin	1
starting	starting	starting	starting	3
officers	officers	officers	officers	5
mino	mine	mine	mino	2
fractured	fractured	fractured	fractured	2
Displaced	Displaced	Displaced	Displaced	1
la	in	in	la	1
period	period	period	period	4
DONALD	DONALD	DONALD	DONALD	1
NLV	New	NLV	NLV	1
al	at	al	at	2
per	per	per	per	44
ordinated	ordinated	ordinated	ordinated	1
collaborated	collaborated	collaborated	collaborated	1
reproductivo	reproductive	reproductive	reproductivo	1
Pyr	Pyr	Pyrmont	Pyr	1
lite	site	lite	late	1
Jorsenson	Jorgenson	Jorsenson	Jorsenson	1
assistance	assistance	assistance	assistance	2
ne	he	he	be	3
closes	closes	closes	closed	1
muss	mass	mass	mass	1
puLicn	POLICE	puLicn	puLicn	1
50ft	50ft	50ft	50ft	1
Challes	Charles	Charles	Charles	2
background	background	background	background	2
levering	severing	levering	levering	1
Gregor	Gregor	Gregor	Gregor	3
ra	in	in	ra	1
seconded	seconded	seconded	seconded	2
policy	policy	policy	policy	4
HillÂ	Hills	Hills	HillÂ	1
rim	Ryan	run	tim	1
surroundings	surroundings	surroundings	surroundings	1
feeding	feeding	feeding	feeding	1
Anglican	Anglican	Anglican	Anglican	2
BAY	BAY	BAY	BAY	1
mittcos	mittees	mittees	mittcos	1
decency	decency	decency	decency	1
oven	even	even	over	2
operating	operating	operating	operating	1
cash	cash	cash	case	2
Cvideuco	Evidence	Evidence	Cvideuco	1
Recalled	Recalled	Recalled	Recalled	1
Sharp	Sharp	Sharp	Sharp	2
wages	wages	wages	wages	3
SUPREME	SUPREME	SUPREME	SUPREME	3
sonls	goals	sons	sonls	1
boutn	South	South	boutn	1
juiuor	junior	junior	juiuor	1
tape	tape	tape	tape	1
draft	draft	draft	draft	1
Incentive	incentive	incentive	Incentive	1
lolly	lolly	lolly	lolly	1
491	491	491	491	1
hu	his	his	ho	3
Judges	Judges	Judges	Judges	2
ovening	evening	evening	evening	2
Earle	Earle	Earle	Earle	1
Tierney	Tierney	Tierney	Tierney	1
Bartholomew	Bartholomew	Bartholomew	Bartholomew	1
profits	profits	profits	profits	1
Hallett	Hazlett	Hallett	Hallett	1
Nadjuigoinar	Nadjingomar	Nadjuigoinar	Nadjuigoinar	1
who	who	who	who	99
ParramattaÂ	Parramattas	Parramatta	ParramattaÂ	1
Before	Before	Before	Before	16
formance	formance	formance	formance	1
Sometime	Sometime	Sometime	Sometime	1
desertion	desertion	desertion	desertion	7
JENKINS	JENKINS	JENKINS	JENKINS	1
Homll	Hamil	Hall	Homll	1
obsliucted	obstructed	obstructed	obsliucted	1
knee	knee	knee	knee	1
forecastle	forecastle	forecastle	forecastle	1
Full	Full	Full	Full	3
beauty	beauty	beauty	beauty	1
ii	65	in	ii	1
Beeres	scores	Reeves	Beeres	1
lively	lively	lively	lively	1
entry	entry	entry	entry	4
metal	metal	metal	metal	4
eheqim	cheque	cheque	eheqim	1
erop	crop	crop	erop	1
bvdnoj	Sydney	Sydney	bvdnoj	1
aluays	always	always	aluays	1
Transit	Transit	Transit	Transit	1
breaks	breaks	breaks	breaks	1
sponded	sponded	sponded	sponded	1
paying	paying	paying	paying	1
aid	aid	aid	and	1
air	air	air	air	2
sickness	sickness	sickness	sickness	1
lilgnmy	bigamy	bigamy	lilgnmy	1
TERRIBLE	TERRIBLE	TERRIBLE	TERRIBLE	1
to	to	to	to	871
la	la	la	la	1
active	active	active	active	4
preparing	preparing	preparing	preparing	3
JUNIOR	JUNIOR	JUNIOR	JUNIOR	1
consummated	consummated	consummated	consummated	1
HATE	HATE	HATE	LATE	1
loom	room	room	room	1
l8	l8	18	l8	2
Monte	Monte	Monte	Monte	1
mercer	mercer	mercer	mercer	1
Bums	Burns	Bums	Bums	2
Saturdajt	Saturdays	Saturday	Saturdajt	1
deceptive	deceptive	deceptive	deceptive	1
informaciÃ³n	information	information	informaciÃ³n	1
ruling	ruling	ruling	ruling	2
ENGLAND	ENGLAND	ENGLAND	ENGLAND	2
America	America	America	America	5
Phillip	Phillip	Phillip	Phillip	4
Clifford	Clifford	Clifford	Clifford	3
Liberty	Liberty	Liberty	Liberty	1
satisfactory	satisfactory	satisfactory	satisfactory	1
Pratten	Pratten	Pratten	Pratten	1
Ciruiicit	CHURCH	Ciruiicit	Ciruiicit	1
gulllv	guilty	guilty	gulltv	1
records	records	records	records	1
Brennan	Brennan	Brennan	Brennan	1
brilliantly	brilliantly	brilliantly	brilliantly	1
46	46	46	46	1
homes	homes	homes	homes	1
lots	lots	lots	lots	3
ll	ll	ll	ll	1
ROBB	Ross	ROBB	ROBB	1
remember	remember	remember	remember	1
southern	the	the	southern	1
rifle	rifle	rifle	rifle	1
advertising	advertising	advertising	advertising	2
Bay	Day	Bay	Bay	1
alluvial	alluvial	alluvial	alluvial	1
linn	him	him	linn	1
cockpit	cockpit	cockpit	cockpit	1
looked	looked	looked	looked	2
farms	farms	farms	farms	2
FlTe	Five	five	FlTe	1
Major	Mayor	Major	Major	3
quarterly	quarterly	quarterly	quarterly	1
iwrts	ports	ports	iwrts	1
father	father	father	father	5
producing	producing	producing	producing	1
builder	builder	builder	builder	1
assignee	assignee	assignee	assignee	7
num	num	number	num	1
