Word	OCR variants
hand	hands, hnnd
means	meant
going	doing, golng
grammar	grammars, grammer, gramnar, granmar
followed	foilowed
system	systems
become	bccome, became, becomc, becone, beeome
few	fev
our	ourp, ours
fact	facts
Ø	DS, SS
particle	particles, partiele
SG	AG, AUG, ERG, ISG, LOG, NSG, ROG, SBJ, SUB
possessive	possessives
NOM	COM
derived	derives
argument	arguments
group	groups
semantic	semantics
locative	iocative, locatives
morpheme	morphemes
away	awav, azvay
want	wants
question	questions
ll	dl, fl, fll, ill, itl, jl, ld, let, lf, lld, lll, lr, ls, lt, lw, ofl, oul, rl, tl, tll, wil, wl
show	shows
terms	terns, terras
reference	references
end	ends
1SG	1SGP, ISG
ed	cd, ced, ded, ely, ent, er, ers, es, et, hed, ied, ned, ond, sed, ted, ued, zed
cannot	eannot
four	fourr
rule	ruie, rules
die	died, dies
follows	foilows
complex	complete
change	changc, changes
little	tittle
3s	3d, 3f, 3fs, 3m, 3ms, 3n, 3ns, 3p, 3pf, 3pl, 3pm, 3ps, 3rs, 3sa, 3sf, 3sg, 3sm, 3sn, 3so, 3sp, 3ss, ls, prs
simple	simplex
short	shorl
dog	dogs, frog
imperative	imperatives
having	haying
adjective	adjcctive, adjectival, adjectivc
ng	ag, ang, eg, gg, ig, ing, lg, lng, mg, nc, nce, nd, nga, ngg, ngk, ngs, ngw, nh, nj, nk, nl, nn, nng, ns, nt, nts, ny, ug, ung
dialect	diaiect, dialcct, dialects
direct	dircct, directt
thing	things, tiling
preceding	preceeding
analysis	analyses
discussed	discusscd
food	foods
fish	flsh
base	bases
look	iook, looks, zook
co	cd, con, eo, ro
far	near
pronominal	pronominals
stop	slop, stops
classes	classcs, classess, olasses
GEN	CEN
last	lirst
linguistic	linquistic
event	events
complement	complements
hit	hits, hurt
called	callcd
permission	permissions
passive	passives
pattern	patterns
formed	foraed, formod, forned
un	nun, sin, tin, ton, ue, uk, ul, um, una, une, uns, ur, urn, ut
saw	sat, says
ending	endings
left	ieft
seems	seeas, seemed
village	villages
point	points
text	texts
nasal	nasals
demonstrative	demonstratives
linguistics	linauistics, linquistics
adj	adjl, adjn, adjp, adjz, adv, advl, nadj, sadj
state	states
based	baaed, bused
interrogative	interrogatives
kind	kinds, klnd
tr	aor, cr, ctr, dtr, err, fr, gr, ir, itr, lr, pr, ptr, rr, sr, tb, tc, tg, tj, tm, tn, tp, trn, trp, trs, trv, tt, tv, vr, vtr
causative	causativc, causatives
book	books
information	inforaation
THE	THK, TIIE
sit	sat, sits, wait
adverbial	adverbials
compound	compounds
speak	apeak, speaks
contrast	constrast, contrasts
body	bodv
Ð	CO, TJ, TT
sound	sounds
element	clement, elements
nom	nomz, norn, prom
full	fully
PAST	PASS
son	sons
3PL	3DL, 3FPL, 3MPL, 3PC, 3PLU, IPL, MPL
area	areas
except	exccpt
vi	fi, va, vac, vai, var, vb, vbl, vc, vd, vf, vh, vii, viv, vl, vll, vm, vn, vo, vph, vr, vsc, vsl, vt, vtr, vu, vv, vw, vx, vz, xi
sense	senses
sing	sang, sings, slng, song
gender	gander, genders
river	rivers
indicate	indicates
genitive	genetive, genitival, genitives
level	ievel, levei, levels
context	content, contexts
side	aide, sidc, sides, slde
evidence	evidences
five	fives
POSS	FOSS, POSR, POSSD, POSSM
home	homes
id	ad, dd, ib, ibl, ic, idl, ie, ig, igl, ih, ihl, iin, ij, ik, ikl, inn, io, ip, iql, ir, irl, isl, iu, iw, iwl, ixl, iy, ld, md, nd, od, rd, td, ud, wd
open	opcn
yes	ycs, yeah
fall	falls, fell
voice	voicc, voices
tell	tells
process	proccss
probably	probable
boy	baby, boss, boys
front	fiont
topic	topics
large	iarge, larger
location	locations
mood	moods
press	prcss
agent	agency, agents
sp	sej, spp, ssp
money	aoney, monev, moneys
refer	refers
st	ct, dt, ft, gt, ht, ist, jt, lst, lt, mt, nt, ot, pt, rt, sc, sd, sf, sj, sk, sl, sms, sn, snd, sr, ss, sta, ste, sti, stl, str, sts, stt, sv, sy, tht, tt, xt
FUT	FACT, PUT
2SG	ISG
result	resuit, results
reduplication	reduplications
discussion	discussions
distinction	distinctions
cause	causc, caused, causes
middle	middie
sleep	asleep, sleepy
fire	afire, fires, frre
kill	kills
ten	tens
DAT	DET, DPT, LAT, OAT
human	humans, hurnan
story	stoiy
drink	drank, drinks, drunk
III	CII, IIA, IIIA, IIIB, LII, VII, VIII, XII, XIII, XVII
situation	situations
possessor	possessors
bring	brings
sequence	sequences
indefinite	indefinites
dative	datives
john	johni
run	ran, rush
studies	studios
der	den, oder, uber
difference	differences
least	leaat
3rd	hird, ird, jrd
stative	statives
mentioned	aentioned, nentioned
close	closc, closed, closer, elose
reflexive	reflective, reflexives
ABS	ABL, ABM, ABSL, ASS
call	calls
later	lately, latest
subordinate	subordinated
special	spccial
central	ccntral
every	eveiy
active	activc
neg	ncg
girl	girls
top	tip, tops
clitic	clitics
participle	participles
until	untill
got	shot
lie	live
red	dyed
source	sources
DEF	DBF, DEIC, DEM, DET, IDEF, OEF, REF
night	nights
mark	marks
reason	reasons
ex	cx, ec, eg, equ, est, exa, exp
line	lines
figure	figures
description	descriptions
buy	buys
true	truly
stay	slay, stays
took	shook
dual	duall, duals
act	acts
owner	owners
east	coast
rice	ricc, rioe
series	scries
turn	turns
IV	CIV, IA, IIA, IIB, IVA, IVB, IX, IY, XIV, XLV, XV, XXV
think	thinks
role	roles
exist	exists
infinitive	infinitival, infinitives
beginning	beginnings
sister	sisters
relation	relations
distribution	distributions
constituent	constituents
ask	asks
talk	talks, tazk, walk
relationship	relationships
list	iist, lists
year	yean, years
gen	ben, igen
male	males
motion	emotion, motions
ART	PART, PPRT, PRT
AND	AMD
school	schools
land	lands
mid	mids
iv	av, cv, dv, ev, ial, ib, ic, ie, ig, iii, iiv, ij, io, iu, ive, ix, jv, lv, ov, qv, rv, sv, tiv, tv, uv, vv, vvv, wv, xv
expression	expressions
compare	compared, compares
god	gods
cross	across
read	reads
feminine	feminines
variation	variations
1s	1p, 1pi, 1sg, 1so, 1ss, ls, prs
combination	combinations
account	accounts
preposition	prepositions
numeral	humeral
field	fields
2nd	ilnd, znd
inflection	inflections
light	bright, iight, lights, weight
law	iaw, laws
INF	IMPF, IND, INTR, IPF, JNF
animate	animates
article	articles
conditional	conditionals
PRES	PRET
need	needs
dat	det, dist, stat
aj	aaj, ab, ac, ack, aii, aij, ajl, alp, anc, ank, ap, aq, av, aw, ax, cj, ej, fj, hj, iij, ij, jj, juj, jwj, kaj, kj, laj, lj, maj, naj, oj, ooj, pj, rj, tij, tj, uj, vaj, vj, waj, yj
sign	signs
told	lold
phonetic	phonctic, phonemic, phonetics
actor	actors
comes	comcs, conies
OBJ	IOBJ, OBV, SBJ, SUBJ
1st	fust, irst, lst, rst
conjunction	conjunctions
copula	copular, copulas
pig	pigs
com	coll, comm, comp, conc, cons, cop, corn, corr, hom, prom, som
post	host, posed
break	breaks
referent	referents
CV	CC, CCC, CCV, CGV, CLV, CVC, CVG, CVJ, CVK, CVL, CVN, CVR, CVS, CVT, CVV, CVX, CWC, CYC, GV, NCV, VCV, VV, VVV
possessed	possessee
loc	aloc, foc, iloc, ioc, lac, locm, locp
coming	coning, corning
purpose	purposes
occurrence	occurrences
masculine	masculines
ah	aah, aan, aat, aay, ab, ach, ae, aha, ahi, aii, ala, ama, ap, av, aw, aya, aye, bah, cah, dah, deh, dih, eh, gah, hah, heh, hh, hoh, huh, iah, ih, iih, kah, lah, leh, lih, mah, meh, muh, nah, neh, nih, noh, oh, pah, rah, sah, sih, tah, teh, tih, toh, uh, wah, yah, yh
animal	animals
plant	plants
und	sind
respect	respcct
female	females
king	kings
proto	prolo
derivation	derivations
stick	sticks
lsg	isg, lsgs
write	wrote
cook	cooks, oook
friend	friends
arrive	arrived, arrives
contact	contacts
IMP	CIMP, EMP, IMM, IMPF, IMPR, IMPV, IMV, JMP
phonemes	phonenes
rain	rains, rainy
earlier	earliest
glottal	glottals
stone	stones
preceded	preceeded
mouth	mouths
paradigm	paradigms
comparative	comparatives
ergative	ergativc
material	materials
lost	lose
patient	patients
younger	youngest
older	elder, oldest
iâ	amâ, anâ, arâ, atâ, aâ, bâ, caâ, coâ, câ, dâ, enâ, erâ, eâ, fiâ, flâ, ftâ, fâ, grâ, gâ, hcâ, heâ, hâ, ifl, ih, ihâ, iiâ, ij, imâ, inâ, irâ, itf, itâ, iw, jâ, kaâ, kâ, laâ, lhâ, liâ, llâ, ltâ, lâ, maâ, miâ, moâ, mâ, naâ, niâ, nnâ, noâ, ntâ, nâ, olâ, oâ, paâ, pâ, raâ, râ, siâ, sâ, taâ, thâ, tiâ, tlâ, tnâ, trâ, ttâ, tâ, utâ, uâ, vâ, waâ, weâ, wâ, xâ, yaâ, yâ
consists	consisted
length	lengths
pres	pret
pro	prc, pred, prep, prn, pron, prop
TOP	COP, TEMP
3S	3A, 3F, 3M, 3N, 3P, 3PS, 3SM, ASS, DS, POS, PRS, SS
attached	attaches
2sg	2nsg, 2sga, 2sgf, 2sgm, 2sgo, 2sgs, 2sgu, 2so, isg
translation	translations
heard	hears
eye	eyes
nan	aman, ban, dan, gan, nag, nai, nak, naka, nam, nang, nat, naw, nay, nen, nin, nun, pan, tan, wan, yan
didn	didnt, dldn
variant	variants
pitch	pilch
horse	horses
unit	units, unity
narrative	narratives
2s	2d, 2ms, 2ns, 2p, 2pa, 2pl, 2ps, 2sa, 2sf, 2sm, 2so, 2ss, jps, ls, prs
inanimate	inanimates, nonanimate
arabic	aramaic
origin	origins
hair	hairs
daughter	daughters
fruit	fruits
date	dated, dates
morning	mornings
direction	directions
degree	degrees
pronounced	pronounccd
interpretation	interpretations
road	roads
eating	beating
letter	letters
movement	movements
modal	modals
PFV	IPFV, PFCT, PFM, PFT, PRFV, PRV
nps	dps, hps, pps, vps
lower	lowest
om	alm, dom, erm, hom, kom, oc, od, og, ok, oll, ond, ook, oon, op, orn, orp, ors, ort, os, oud, ov, ove, ow, rom, sem, tem, tm, wom
play	plays
velar	velars
acc	accd, ace, aced
throw	threw
face	faces
dance	dancc, danced, dancer, dances
sh	ach, cch, dh, dzh, eh, gh, hh, ih, ish, jh, kh, lh, nh, rh, sho, sj, sk, ss, sts, sw, sy, tch, tsh, tth, zh
ou	eau, eu, iu, oa, oe, oi, ont, os, oui, pou, qu, sou
slot	slots
pot	pots
CAUS	CADS
move	moved, moves
keep	keeps
1PL	1DL, 1PI, 1PLN, 1PLU, 1PLX, IPL
enclitic	enclitics
NHG	MHG, OHG
himself	himselfi
per	pcr
hot	heat
basis	basing
classifier	classifiers
lot	lots
reading	readings
participant	participants
cold	oold
sea	seas
comparison	comparision, comparisons
chief	chiefs
cow	cock, cows
view	views
begin	begins
dictionary	dictionaiy
door	doors, floor
period	periods
kin	kins, kith, kun
car	cars, cart
country	countiy
intonation	intonations
paper	papers
development	developments
dem	decl, def, deic, den, dern, det, dim
war	wage, wars
TR	BR, DR, DUR, IR, ITR, MR, NR, PER, PR, RNR, RR, SR, TH, THM, TZ
seven	eleven
better	belter
conjugation	conjugations
town	towns
realized	realised
range	ranges
lack	lacks
answer	answers
reciprocal	reciprocals
bit	bite, bits
mountain	mountains
influence	influences
les	ces
goal	goals
usage	usages
min	bin, din, hin, iin, jin, mii, miin, mil, mim, mis, mit, mun, nin, sin, yin
teacher	preacher, tcacher, teachcr, teachers
vol	vols
ly	ely, ery, ity, lis, lly, ln, ncy, ory, rly, ry, tly, ty
placed	placcd, plaoed
AV	AC, ACD, ACT, AF, AFF, AG, AGT, AMB, APP, APV, AVP, BV, ELV, GV, ICV, LV, NV, OV, PV, RQV, RV, UV
shape	shapes
love	loved, loves
equivalent	equivalents
higher	highest
finished	finishes
bear	bears
add	adds
san	han, sao
island	islands
effect	effects
exception	exceptions
skin	skins
age	aged, ages
translated	translates
tongue	tongues
quality	quantity
reduced	reduces
palatal	palatals
utterance	utterances
dead	death
obj	obi, obje, obl, sbj, subj
tie	tied
cat	calf, cats, goat, rat
deictic	dcictic, deictics
hole	holed, holes
overt	covert
wind	winds
hat	coat, hats, hay, lhat, mat
mr	br, dr, mrs, ms, mt, sir
01	0b, 0f, c1, l1, ll1
poss	possd, possr
CHAPTER	CHAPTERS
double	doubled
illustrate	illustrates
accent	acccnt, accents
fricative	fricatives
remains	remained, retains
directional	directionals
VI	AI, CI, CII, HI, LII, NI, TI, VA, VAI, VC, VH, VII, VJ, VL, VM, VN, VPV, VT, VTI, VW, VX, XI, XII, XVI, XXI
alternation	alternations
canoe	canoc, canoes
mode	modes
absence	absense
differ	differs
condition	conditions
region	regions
remain	retain
pers	pcrs, perso
omitted	ommitted
belong	belongs
imp	comp, impf, impt, impv
PF	AF, AFF, ERF, IPF, NF, PA, PAS, PER, PEW, PFM, PFT, PR, PRC, PRF, PRG, PRI, PRP, PRS, PRV, PSV, PT, PTP
society	societv
leg	legs
heart	hearts
creole	creoles
DIR	DIS, DIST, DUR
catch	snatch
ua	aia, ala, aoa, ata, aua, ena, fua, iaa, iia, ila, ira, ita, iua, kia, kua, lea, lia, loa, lua, mea, mia, mua, nia, noa, nua, oa, oia, ora, oua, ria, roa, rua, tia, toa, tua, uaa, uae, uai, uan, uau, ue, uei, ui, uma, uo, ura, usu, uta, utu, uu, uva, uw
spread	spreads
00	0b, 0o, 0t, f0, i0, l0, o0
page	pages
cloth	cloths
pay	paid, pays
send	lend, sends, sent
statement	statements
value	values
provide	provides
wh	whp
assimilation	dissimilation
feel	feels
spear	spears
sitting	silting
split	splits
boundary	boundarie
basket	baskets
orthography	orthographic
hundred	hundreds
IS	AS, ES, HAS, IA, IC, ID, IF, IH, IM, ING, IO, ION, IP, IR, ISI, IT, PS
garden	gardens
AN	ABE, AGE, AHI, AI, AIM, AIR, AKE, AKO, AL, AMA, AMO, ANN, ANY, API, ARA, ARC, AS, AT, ATI, DEN, EEN, EN, FUN, HAN, ION, LAN, MAN, MEN, MON, NAN, NUN, ON, SON
living	jiving
earth	hearth
aux	auxl, auxp
problem	problems
deleted	deletes
pst	dist, npst, prst, rpst
instrument	instruments
require	requires
allow	allows
typical	atypical
indian	indians
TO	WHO
angry	angiy, hungry
choice	choices
space	spaces
kw	bw, cw, fw, gw, hw, ikw, iw, jw, kb, khw, kj, kk, kkh, kkw, kl, kn, kp, kpw, ks, kt, kwh, kwi, ky, lw, mbw, mpw, mw, ngw, nkw, nw, pw, qw, rw, skw, sw, tkw, tsw, uw, vw, ww, xw
intr	intrv, lntr, vintr
pronunciation	pronounciation, pronunciations
characteristic	characteristics
ant	ants, att, cont
shift	shifts
loan	loans
piece	pieces
existential	existentials
mind	minds
COMP	COMPL
agree	agrees
applied	applies
meet	greet
scope	scopc, scopes
ith	hith, lith, rith, vdth, vith, vlth, wfth, wlth, wtth
glide	glides
hen	hens, horn, vhen, wben, wen
ek	aek, bak, bek, cek, cik, dek, dok, ef, ej, eka, ekh, eki, eko, eks, enk, enn, ep, ett, eus, ez, hak, hek, hik, jak, jek, kak, kek, lak, lek, lik, lok, mak, mek, nak, nek, nik, nok, pek, pok, rek, sak, sek, sok, tak, tek, tik, uk, wek, yak, yek, yok
num	nump, nurn
month	months
tion	ation, ction, ition, ption, sion, ssion, tions, ution
idea	ideas
share	shared, shares
involve	involves
ablative	ablatival, ablatives, allative
austronesian	austroneslan
1S	1P, 1SN, 1SP, ASS, DES, PAS, POS, PRS, RES, RLS
extent	extents
carried	carricd
spatial	spacial
forest	forests
eight	eighty
regard	regards
serve	serves
ear	ears
extension	extensions, extention
eaten	beaten, oaten
maa	ataa, baa, caa, daa, dhaa, faa, gaa, haa, iaa, isaa, jaa, kaa, kwaa, laa, maan, mana, mba, mia, naa, ngaa, paa, raa, saa, ssaa, taa, vaa, waa, yaa, zaa
bag	bags
PROG	PROGR, PROSP
ao	aaa, aae, aai, aao, aei, aej, aeu, aho, aia, ail, ano, aoa, aoe, aoo, aos, aot, ara, aro, aue, auo, eo, ero, hao, hoo, iao, iho, iio, ioo, loo, nao, oeo, oio, ono, ooo, oro, ouo, tbo, uo, vao, xoo
start	starts
shoot	shout
PM	AM
arm	arms
combined	combines
institute	institutes
net	nets
VERB	VERBS
addressee	addressees, addresser
culture	cultural, cultures
nine	ninty
pidgin	pidgins
support	supports
declarative	declaratives
blood	bloody
parallel	parallels
boat	board, boats
nominalized	nominalised, norninalized
contrastive	constrastive
rn	bn, fn, gn, hn, jn, lln, mn, rc, rd, rf, rg, rh, rj, rk, rl, rll, rlt, rm, rnb, rnd, rnl, rnn, rnt, rrd, rrg, rrj, rrl, rrm, rrr, rrt, rrw, rry, rs, rta, rtl, rtt, rw, wn
divided	devided, divides
banana	bananas
palm	palms
learn	learnt
won	wasn, wont
domain	domains
cooked	cookcd
ali	aali, alwi
wide	widen, wider
fly	flee
milk	milch
ind	cond, inc, inf, ins, inst, int, ints, inv, lnd
distance	distances
HL	HF, HH, HHF, HHH, HHL, HLH, HLL, HLM, HM, HML, HMM, HRL, HTA, LHL, LL, LLL, LML, MHL, ML, MML, SL
tok	tek, tolc, wok
filled	fllled
map	maps
market	markets
rise	arise, raise, rises, rouse
lay	laid, lays
ADV	ADD, ADJ, ADP, ADVB, ADVL, ADVP, ADVR
moon	moons
mine	thine
spirit	spirits
ey	ec, eek, eet, ef, ej, ell, ep, ere, ese, ess, ete, eth, eti, ew, ewh, eyo, hay, hy, iy, ky, ney, oy, pey, tly, uy, yay
chicken	chickens
syllabic	syllabics
bread	breads
pf	aff, ctf, inf, ipf, irf, nf, npf, pc, pft, pfv, ppl, prf, prs, prt, ps, psv, ptc, rlf, sf
bed	beds
rel	rec, refl, rei
yam	yams
japanese	javanese
neuter	neuters
sheep	sheeps
RED	REAL, REDP, REI, REP
believe	believes
masc	masg
denote	denotes
burn	burnt, bury
ø	aq, eb, ej, ep, ib, iw, tz, ub, uj, uk, uw, ux
leaf	leafy
guinea	guinean
tend	tends
population	populations
rope	ropes
component	components
bar	arar, bal, ban, bans, bant, bara, bard, barg, barm, barn, bars, bat, baz, bir, bur, dar, dhar, duar, gar, har, jar, kar, phar, sar, tar, var, yar, zar
applicative	applicatives
myself	thyself
coconut	cocoanut, coconuts
environment	environments
detail	details
conversation	conversations
hill	hills, hilly
allomorph	ailomorph, allomorphs, allornorph
DO	DA, DC, DI, DT, GO, IO, PO, SO
built	builds, buill
pour	pours
indo	lndo
grow	grew, grown, grows
total	totals
oral	aural
changed	changcd
nphr	vphr
talking	walking
notice	noticc, noticed, notices
string	strings
medicine	medicinal, medicines
sell	sells
sort	sorts
2PL	2DL, 2FPL, 2MPL, 2PLA, 2PLU, 2POL, IPL, MPL
uncle	uncles
tai	bai, cai, dai, duai, gai, hai, hiai, lai, nai, ntai, pai, rai, sai, taai, tae, tang, tani, tao, tau, tei, toi, tuai, tui
benefactive	benefactives
fight	fights, fought
hide	hides
fem	fcm, fern, fesg
ml	bl, fkl, fll, gl, hl, ifl, igl, ijl, iml, jl, jll, kl, kll, lbl, lfl, lgl, lil, ljl, lll, lml, lnl, lrl, ltl, lwl, mb, md, mf, mfl, mg, mh, mil, mj, mll, mm, mml, mn, mrr, mt, mw, mz, ndl, nhl, nil, njl, nll, ntl, rl, rnl, rrl, sl, tll, tnl, wl, yfl, yl
dental	dentals
stage	stages
deer	deers
plur	piur, plnr, pluml, plura
CONJ	COND, CONN, CONS, CONT, CONTR
segment	segments
proposed	proposes
corresponds	corresponded
character	characters
dig	dip, dive, drag, dug
concord	concords
path	paths
greater	greatest
room	rooms
__	_a, _c, _e, _g, _i, _l, _m, _n, _o, _p, _r, _s, _t, _u, _w, _y, a_, b_, c_, e_, g_, i_, j_, k_, l_, m_, n_, o_, p_, r_, t_, u_, v_, w_, x_
cp	cb, cc, cj, ck, cm, cn, cnj, cpl, cr, cs, cv, cw, cx, cz, fp, hfp, mp, tp
rock	rocks, rocky
ion	ions, sion, uion
representation	representations
TABLE	TABLES
gun	guns
determiner	determiners
deep	steep
INT	CNT, CONT, INC, INFO, INJ, INTS
nm	bm, clm, cm, dcm, dim, dm, fm, gm, jm, lm, mm, nb, nbt, nc, nci, ndy, nf, nh, nj, nlb, nlk, nlr, nnc, nnm, nnn, np, npl, npt, nr, nrn, ntl, ntp, ntr, nyn, oem, pm, rrm, sm, tm
das	dann
inclusive	inclusives
married	marries
explanation	explanations
pick	pack, picks, piek, plck, pluck
tail	tails
sth	smth, sthg
nyi	ayi, dyi, fiyi, jiyi, lyi, nayi, ndi, nggi, ngi, nhi, nini, nji, nye, nyik, nyim, nyin, nyl, nyo, nyu, syi
PN	BEN, GN, IGN, PA, PLN, PLU, PNM, PO, POS, PQ, PRN, PSN, PSS
articulation	articulations
adjunct	adjuncts
zu	ze, zum
thin	thick
affected	effected
version	versions
lake	lakes
notion	notions
spelling	spellings
volume	volumes
edge	edges, ridge
fill	fills
onset	onsets
bone	bones
evening	evenings
ref	rec, rep
drop	drip, drops
bamboo	bamboos
oil	oily
plain	plains
care	cared
sb	fib, grb, qtb, sbp, sby, smb, smn, smt, stv, sv, svs, zb
smoke	smoker, smokes, smoky, stoke
cognate	cognates
kept	slept
che	chan, cher, cho, chu, khe
finger	fingers
listen	listens
ari	adi, agi, ami, aria, aru, asi, ati, eri, iri, tari, uri
awa	aba, aga, asa, ata, awe, awi, awo, awu, aya, ewa, iwa, kawa, nawa, owa, uwa, yawa
model	models
teach	preach
het	moet, niet
